,pair,side,entry_time,exit_time,holding_period,entry_z,exit_z,entry_spread,exit_spread,trade_return
20,IDU & VPU,short,2023-09-28,2024-04-24,144,2.4961414501393784,0.466986703025449,0.015994223029265342,0.03544444612357367,-0.019597622306332996
21,IDU & VPU,long,2024-09-17,2024-10-09,17,-2.058252844737752,-0.3934244879280802,0.018719361812808977,0.025225464062041958,0.006475816630659992
22,IYF & VFH,short,2019-08-07,2019-09-10,24,2.086568486803256,0.3110711373933344,-0.004188018847512076,-0.009192396960039595,0.004879086116702291
23,IYF & VFH,long,2019-11-07,2020-01-10,44,-2.044709058735299,-0.37874864838593464,-0.025415235025906924,-0.016061871415393725,0.009271505246730039
24,IYF & VFH,short,2020-03-02,2020-05-27,61,2.062464134793395,0.19783245874603617,0.010850832934767851,0.018506835894644524,-0.008591847509598183
25,IYF & VFH,short,2020-09-15,2020-10-07,17,2.7992849695592747,0.3389293731363904,0.04954737742851023,0.03565659889606998,0.01388849438403117
26,IYF & VFH,long,2020-10-26,2021-04-13,116,-2.0203714046129173,-0.37885893279027083,0.01679830764918755,-0.028622604366978166,-0.04520781189348222
27,IYF & VFH,short,2021-06-21,2021-08-10,36,2.351576930216827,0.07265244865647401,-0.013796977149341139,-0.023027948428749667,0.009112787822378676
28,IYF & VFH,short,2022-02-02,2022-02-14,9,2.044466706774883,0.42841516290047743,-0.012397333536569022,-0.018061976895864973,0.005673035461475795
29,IYF & VFH,short,2022-03-21,2022-04-22,24,2.117066397744303,0.14372771322503444,-0.011762505298109183,-0.015311128678172636,0.003545643085191008
30,IYF & VFH,long,2022-06-09,2022-06-23,10,-2.148861165587498,-0.4585719096841121,-0.02201896969211603,-0.017739210349806633,0.004264060191097041
31,IYF & VFH,short,2022-09-08,2022-09-16,7,2.079827190646896,0.37922294793517825,-0.010535759749997986,-0.015199227301805784,0.004672082885647022
32,IYF & VFH,long,2022-09-26,2022-09-28,3,-2.426369381759153,-0.019751450581380385,-0.023499342326722683,-0.01649065749434442,0.007012915201877634
33,IYF & VFH,short,2022-11-11,2022-12-13,22,2.019458193072822,-0.302368287830567,-0.011155841769171282,-0.015303152310330859,0.004135409099633058
34,IYF & VFH,short,2022-12-21,2023-02-02,29,2.0023820412167654,0.23273594846799153,-0.008029668762315367,-0.011129329866029103,0.00309206864439715
35,IYF & VFH,long,2023-03-23,2023-03-24,2,-2.1780423504062987,-0.26977250679638587,-0.016705278925918776,-0.011187546327933617,0.005517732597984937
36,IYF & VFH,short,2023-04-12,2023-06-01,36,2.137841109105078,0.2042929933441553,-0.0038078930625449203,-0.005445419941562335,0.001620742645487283
37,IYF & VFH,short,2023-07-21,2023-08-22,23,2.04229091533689,0.28110636237525205,0.00482317933340326,0.00026628777241111123,0.004543048637993152
38,IYF & VFH,short,2023-09-14,2023-12-06,59,2.3229065255776944,0.4964388711482014,0.009311070675681599,0.009274630945903972,-5.3684709219958826e-05
39,IYF & VFH,short,2023-12-19,2023-12-21,3,2.156917134657691,0.3138508448392661,0.015753524905009364,0.00930549023740923,0.0064540976127682725
40,IYF & VFH,short,2024-01-05,2024-01-18,9,2.016045264080652,0.3274239631234904,0.016258628961853816,0.010719640374238004,0.005551664476986851
41,IYF & VFH,short,2024-02-20,2024-09-09,140,2.974503744534486,0.4046406330606213,0.018379699674214933,0.03752908772499364,-0.01917878863051059
42,IYJ & VIS,short,2020-01-17,2020-02-25,26,2.218259419939432,0.18877083930617752,-0.010312653390569082,-0.01719095782257085,0.0068403296940773295
43,IYJ & VIS,long,2020-03-16,2020-03-24,7,-3.104212520393847,-0.35227786214041745,-0.0381297040028965,-0.0203170633387737,0.017663198448183204
44,IYJ & VIS,long,2020-03-25,2020-03-26,2,-2.0544202739319726,-0.2658720185585367,-0.031845128051473104,-0.019766835738079358,0.012078292313393968
45,IYJ & VIS,short,2020-04-24,2020-09-08,95,2.1631901252773966,0.3613642328799786,-0.0011102403283675955,0.023547101846061125,-0.024881976991309562
46,IYJ & VIS,short,2020-12-01,2020-12-09,7,2.214360507593385,0.3653578665660197,0.04353675360102738,0.03454994728488625,0.009003148942710704
47,IYJ & VIS,short,2020-12-17,2021-01-12,17,3.3710643764485964,0.287379323726542,0.048032045626174025,0.03699017482958933,0.01103801892605727
